award_id_piid,current_total_value_of_award,recipient_name,financial_year,uniqueness,years
HSCEMS16P00009,4475,POTOMAC FORUM LTD,2016,unique,2016-only
HSCETE16P00021,4528.6,ALEXANDER ELECTRIC CO.,2016,unique,2016-only
HSCEMD16P00079,4665,"GULF BREEZE PROPERTIES, II L.L.C.",2016,unique,2016-only
HSCEMS16P00027,4683.4,JACQUES CATERING OF NY INC,2016,unique,2016-only
HSCEMD16P00019,4700,"SIS GLOBAL SOLUTIONS, LLC",2016,unique,2016-only
HSCECR16F00007,4770,NYP CORP,2016,unique,2016-only
HSCEDM16P00047,4795.33,"SHIFFLER EQUIPMENT SALES, INC.",2016,unique,2016-only
HSCEMD16P00066,4800,LUELLA NELSON,2016,unique,2016-only
HSCEMS16P00047,4800,"SIS GLOBAL SOLUTIONS, LLC",2016,unique,2016-only
HSCEDM16F00045,4842.76,"CAPP, INC.",2016,unique,2016-only
HSCEDM16P00104,4852.08,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCEDM16P00061,5166,"ICS JAIL SUPPLIES, INC.",2016,unique,2016-only
HSCEMD16F00032,5399.46,"H. L., DALIS, INC.",2016,unique,2016-only
HSCEDM16F00020,5520,STAR POLY BAG INCORPORATED,2016,unique,2016-only
HSCEMD16P00013,5600,"VIKING CORPORATION, THE",2016,unique,2016-only
HSCEMD16F00140,5799,17TH STREET PHOTO SUPPLY INCORPORATED,2016,unique,2016-only
HSCETE16F00066,5860.8,"FEDERAL DEFENSE SOLUTIONS, INC.",2016,unique,2016-only
HSCEDM16P00021,6102.62,"SMITHS DETECTION, INC.",2016,unique,2016-only
HSCEDM16F00065,6284.06,SUNSHINE MAKERS INC,2016,unique,2016-only
HSCEDM16F00056,6523.2,BOB BARKER COMPANY INCORPORATED,2016,unique,2016-only
HSCEDM16F00037,6546.55,"LUND INDUSTRIES, INC.",2016,unique,2016-only
HSCEDM16P00099,6592,"ECOVANTAGE ENERGY, INC.",2016,unique,2016-only
HSCEMD16P00106,6620,MAYA INTERPRETERS,2016,unique,2016-only
HSCEMD16P00045,6750,"SIX CONTINENTS HOTELS, INC",2016,unique,2016-only
HSCEMD16F00136,6876.89,BOTACH TACTICAL,2016,unique,2016-only
HSCEMD16F00115,6989.12,"RENEW RESOURCES, INC.",2016,unique,2016-only
HSCEDM16P00039,7003.92,"INDUSTRIES OF THE BLIND, INCORPORATED",2016,unique,2016-only
HSCEDM16P00040,7229.04,ALPHAPOINTE,2016,unique,2016-only
HSCEDM16P00033,7555.68,"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.",2016,unique,2016-only
HSCEDM16F00042,7717.65,BUCKSTAFF PUBLIC SAFETY INCORPORATED,2016,unique,2016-only
HSCETE16P00006,7750,MSAB INCORPORATED,2016,unique,2016-only
HSCEDM16F00022,7945,"ACCESS PRODUCTS, INC",2016,unique,2016-only
HSCEMS16P00052,7999.8,"LEUPOLD & STEVENS, INC.",2016,unique,2016-only
HSCEMD16F00137,8299.9,OPTIM INC,2016,unique,2016-only
HSCEDM16F00030,8337,"H. L., DALIS, INC.",2016,unique,2016-only
HSCEDM16P00018,8354.13,"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.",2016,unique,2016-only
HSCETC16F00008,8363.39,PRINTREE LLC,2016,unique,2016-only
HSCEMD16P00063,8417,KARDA SYSTEMS LLC,2016,unique,2016-only
HSCEMS16P00030,8490,"MERISTAR PENTAGON CITY, LLC",2016,unique,2016-only
HSCEMS16P00015,8703,"HURST, CITY OF",2016,unique,2016-only
HSCEDM16F00041,8887.32,SILENT GUARD SYSTEMS INC,2016,unique,2016-only
HSCEMD16P00119,9117.5,PRODUCTION AUTOMATION CORPORATION,2016,unique,2016-only
HSCEMS16F00055,9215,GARRET P DEMOTT,2016,unique,2016-only
HSCEMD16F00109,9313.25,COMMUNICATIONS APPLIED TECHNOLOGY COMPANY INCORPORATED,2016,unique,2016-only
HSCEDM16F00055,9449.82,ELLISON SYSTEMS INCORPORATED,2016,unique,2016-only
HSCETE16P00048,9540.96,"FOSTER PRODUCTS, INC.",2016,unique,2016-only
HSCEMD16P00126,9903,TAYLOR HOLDINGS LLC,2016,unique,2016-only
HSCEDM16P00003,10330.22,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCETE16F00075,10494,"CANNON IV, INC.",2016,unique,2016-only
HSCECR16P00004,10517.22,EATON CORPORATION,2016,unique,2016-only
HSCEDM16P00044,10800,TREASURE ELECTRONICS INC,2016,unique,2016-only
HSCEDM16F00053,11001.19,COMPLETE PACKAGING & SHIPPING,2016,unique,2016-only
HSCEMS16P00014,11310,INSYTE LLC,2016,unique,2016-only
HSCEDM16F00012,11490,STRONG GROUP INC,2016,unique,2016-only
HSCETE16F00067,12000,"TWENTYEIGHTY STRATEGY EXECUTION, INC.",2016,unique,2016-only
HSCETE16F00001,12500,ENFORCEMENT TECHNOLOGY GROUP INCORPORATED,2016,unique,2016-only
HSCEDM16P00059,13185.36,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCETE16P00031,14190.07,INTEGRATED EXHIBITS INC,2016,unique,2016-only
HSCEDM16P00078,14408,KP ELECTRONICS LLC,2016,unique,2016-only
HSCETE16P00059,15439,MARDEN ELECTRIC L.L.C.,2016,unique,2016-only
HSCEDM16P00022,15463.12,"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.",2016,unique,2016-only
HSCEMS16F00033,15639.35,"HARDWARE, INC",2016,unique,2016-only
HSCEDM16P00118,16157.96,"M.A.N.S. DISTRIBUTORS, INC.",2016,unique,2016-only
HSCEDM16P00077,16455,BRANTLEY BROS MOVING & STOR CO,2016,unique,2016-only
HSCEDM16P00107,16599.6,"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.",2016,unique,2016-only
HSCEDM16F00058,16836.82,ELLISON SYSTEMS INCORPORATED,2016,unique,2016-only
HSCEDM16F00040,17161.76,"BABCO INTERNATIONAL, INC.",2016,unique,2016-only
HSCEDM16F00021,17600,SOURCELINQ LLC,2016,unique,2016-only
HSCEDM16P00057,17858.57,SILENT GUARD SYSTEMS INC,2016,unique,2016-only
HSCEDM16F00009,18188.53,SYSTEC GROUP LLC,2016,unique,2016-only
HSCEMD16P00046,18660,NATIONAL HOSPITALITY MANAGEMENT,2016,unique,2016-only
HSCETC16P00001,18814.52,CLOUDBURST TECHNOLOGIES LLC,2016,unique,2016-only
HSCEDM16P00048,18831,MIDDLE GEORGIA DIVERSIFIED INDUSTRIES INC,2016,unique,2016-only
HSCEMS16F00030,20321.37,"UNITED SITE SERVICES, INC.",2016,unique,2016-only
HSCETE16P00040,21450,CJEN INC.,2016,unique,2016-only
HSCEDM16F00019,21529.44,BOB BARKER COMPANY INCORPORATED,2016,unique,2016-only
HSCEDM16P00013,21734.7,"ACME SUPPLY CO., LTD",2016,unique,2016-only
HSCEDM16P00103,21790,"NORTH CENTRAL SIGHT SERVICES, INC.",2016,unique,2016-only
HSCEDM16P00053,22096,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCEMD16F00055,22210,"CONNECTICUT TRAILERS, INC.",2016,unique,2016-only
HSCEMD16P00086,22250,CALSPAN CORPORATION,2016,unique,2016-only
HSCEDM16P00105,22480.46,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCEDM16P00098,22605.04,"SHOE CORPORATION OF BIRMINGHAM, INC.",2016,unique,2016-only
HSCEDM16P00050,23760,GOALTEX CORP,2016,unique,2016-only
HSCEMS16P00005,23996.49,MARYLAND ECONOMIC DEVELOPMENT CORPORATION,2016,unique,2016-only
HSCEDM16P00070,24091.32,GLOBAL INFINITY ENTERPRISE LIMITED LIABILITY COMPANY,2016,unique,2016-only
HSCEDM16P00020,24449,CICELY B HUDSON SOLUTIONS LLC,2016,unique,2016-only
HSCETE16P00009,25920,PACIFIC DATACOM SYSTEMS INC.,2016,unique,2016-only
HSCEMS16P00012,27405,BML TOOL & MFG CORP.,2016,unique,2016-only
HSCEDM16F00004,30710.4,"ACCESS DISTRIBUTORS, INC",2016,unique,2016-only
HSCEDM16P00111,35187.35,MIDDLE GEORGIA DIVERSIFIED INDUSTRIES INC,2016,unique,2016-only
HSCETE16F00018,39315.5,CARAHSOFT TECHNOLOGY CORPORATION,2016,unique,2016-only
HSCEMD16P00109,41365,ATLANTIC SIGNAL LLC,2016,unique,2016-only
HSCEMD16P00059,56923.7,SENDUM WIRELESS CORPORATION,2016,unique,2016-only
HSCETE16P00062,62048.58,LAFAYETTE INSTRUMENT COMPANY INC,2016,unique,2016-only
HSCEDM16P00064,66392.55,"G T DISTRIBUTORS, INC.",2016,unique,2016-only
HSCETE16F00011,66495,FAAC INCORPORATED,2016,unique,2016-only
HSCETE16P00039,70680,"RECALL TECHNOLOGIES, INC.",2016,unique,2016-only
HSCETE16P00063,84850,"HUNTER SYSTEMS GROUP, INC.",2016,unique,2016-only
HSCETE16F00034,87000,LOGICUBE CORPORATION,2016,unique,2016-only
HSCEMS16P00025,123750,"SPECIALTY CARTRIDGE, INC.",2016,unique,2016-only
HSCEMS16P00006,124300.8,HELIX GROUP LLC,2016,unique,2016-only
HSCEMS16P00022,148000,"SPECIALTY CARTRIDGE, INC.",2016,unique,2016-only
HSCEMS16P00045,149006.09,"SAFARILAND, LLC",2016,unique,2016-only
HSCEDM16P00075,200000,SELEX ES INC.,2016,unique,2016-only
HSCETC16J00003,204600,CARAHSOFT TECHNOLOGY CORPORATION,2016,unique,2016-only
HSCETE16P00028,296505,"GENERAL DYNAMICS MISSION SYSTEMS, INC",2016,unique,2016-only
HSCEMD16P00035,497050,"KEYW CORPORATION, THE",2016,unique,2016-only
HSCEMS15C00001,1141940.8,"EAGLE HILL CONSULTING, LLC",2016,unique,2016-only
HSCEDM17P00071,353.64,TIME WARNER CABLE INC.,2017,unique,2017-only
HSCEDM17P00053,760,"LINCOLN MOVING & STORAGE OF BUFFALO, INC.",2017,unique,2017-only
55,882.63,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
86,951.3,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCEDM16P00109,1537.99,"PROFESSIONALS, (THE), LLC",2017,unique,2017-only
HSCEOP06F00739,1760,TERMINIX INTERNATIONAL COMPANY,2017,unique,2017-only
HSCEDM17F00092,2076.97,BOOFIGHTER LLC,2017,unique,2017-only
HSCEMR17P00012,2568.8,"MARQUARDT, JENNIFER",2017,unique,2017-only
66,2763.54,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCEDM08F00066,2779,TERMINIX INTERNATIONAL COMPANY,2017,unique,2017-only
HSCEMD17P00115,3150,DAVILA & ASSOCIATES INC,2017,unique,2017-only
HSCEMD17P00136,3240,"CONDUIT TRANSCRIPTIONS, LLC",2017,unique,2017-only
HSCETE17P00073,3359.54,JETICO INC. OY,2017,unique,2017-only
HSCEDM17P00106,3413.94,"CISCO-EAGLE, INC.",2017,unique,2017-only
HSCEE108F00010,3640.91,CEIA USA LLC,2017,unique,2017-only
HSCEDM17P00064,3657.53,TRS INC.,2017,unique,2017-only
HSCEDM17P00084,3660,"SACRAMENTO, COUNTY OF",2017,unique,2017-only
HSCEC708F00070,3760.48,CEIA USA LLC,2017,unique,2017-only
HSCEC708F00071,3760.48,CEIA USA LLC,2017,unique,2017-only
HSCEC708F00072,3760.48,CEIA USA LLC,2017,unique,2017-only
HSCEDM17P00112,4012,"PHOENIX SUPPLY, LLC",2017,unique,2017-only
HSCEDM17F00019,4119.31,SIMPLEXGRINNELL LP,2017,unique,2017-only
HSCEMD17P00131,4136.4,TELERIK INC.,2017,unique,2017-only
HSCEMD17P00048,4318,"ENTECH SALES AND SERVICE, INC.",2017,unique,2017-only
HSCEOP07F01000,4339.54,DOCUMENT IMAGING DIMENSIONS INC.,2017,unique,2017-only
HSCEOP07F01087,4356.54,"4IMPRINT, INC.",2017,unique,2017-only
HSCEMD17F00249,4489,F C I TECH INC.,2017,unique,2017-only
HSCECR09F00052,4585.15,DOCUMENT IMAGING DIMENSIONS INC.,2017,unique,2017-only
HSCEOP07F00511,4595.41,"SECURITYHUNTER, INC.",2017,unique,2017-only
HSCEMS17F00068,4602.88,"FISKARS BRANDS, INC.",2017,unique,2017-only
HSCEMD17P00110,4800,"VENTURA, COUNTY OF",2017,unique,2017-only
HSCEWA09F00011,4950.63,CEIA USA LLC,2017,unique,2017-only
HSCETE17P00074,4970.36,B & H FOTO & ELECTRONICS CORP.,2017,unique,2017-only
HSCEMS17P00060,5095,SMITHMYER ELECTRONICS INC,2017,unique,2017-only
HSCEDM17F00091,5159.49,"TSRC, INC.",2017,unique,2017-only
HSCEDM17F00089,5258.17,MY TONER USA INC.,2017,unique,2017-only
HSCEDM17P00107,5331.28,"CRESCENT PRODUCTS, INC.",2017,unique,2017-only
HSCEDM17F00084,5434,A T D-AMERICAN CO,2017,unique,2017-only
HSCECR13F00026,5434.5,CEIA USA LLC,2017,unique,2017-only
HSCEMD17P00102,5927,OBSIDIAN INTEGRATION LLC,2017,unique,2017-only
HSCECR13F00037,6012.47,SIMPLEXGRINNELL LP,2017,unique,2017-only
HSCEDM17F00075,6186.32,WECSYS LLC,2017,unique,2017-only
HSCEMD17P00052,6353.76,"MARRIOTT INTERNATIONAL, INC.",2017,unique,2017-only
HSCECA07F00100,6409.27,CEIA USA LLC,2017,unique,2017-only
HSCEDM17P00078,6450,CONCEALED TECHNOLOGY SERVICES INC.,2017,unique,2017-only
HSCETE10F00053,6463,"VISUAL SYSTEMS GROUP, INC.",2017,unique,2017-only
HSCETE17P00071,6538.38,"COXCOM, LLC",2017,unique,2017-only
HSCEMS17F00065,6620.6,OWYHEE CAPITAL CORP,2017,unique,2017-only
HSCEMS17P00067,6699.69,MCCALL HANDLING CO.,2017,unique,2017-only
HSCEMD17P00107,6708,KELL SYSTEMS INC.,2017,unique,2017-only
HSCEMD13F00135,6956,L AND R MANUFACTURING COMPANY,2017,unique,2017-only
HSCEDM17F00081,7125,INTERIOR FACILITIES DESIGN LIMITED LIABILITY COMPANY,2017,unique,2017-only
HSCECR13P00020,7470,COOKIE'S DME INC,2017,unique,2017-only
HSCEMS17J00185,7516.08,"TACTICAL MEDICAL SOLUTIONS, INC.",2017,unique,2017-only
HSCEFC07F00130,7520.96,CEIA USA LLC,2017,unique,2017-only
HSCEDM16P00126,8266.44,PRUDENTIAL OVERALL SUPPLY,2017,unique,2017-only
HSCEXP05FF00022,8327.49,CEIA USA LLC,2017,unique,2017-only
HSCEOP07F00586,8328.06,ANCHORTEX CORPORATION,2017,unique,2017-only
HSCECR12F00062,8764.8,L AND R MANUFACTURING COMPANY,2017,unique,2017-only
HSCEMD17P00103,9000,"VOLEXITY, INC.",2017,unique,2017-only
HSCEMS17P00105,9119,"ZEE TECHNOLOGIES, INC.",2017,unique,2017-only
HSCEDM17C00003,9400,"SHERBURNE, COUNTY OF (INC)",2017,unique,2017-only
HSCEMR16P00032,9540.92,"TIME WARNER ENTERTAINMENT COMPANY, L.P.",2017,unique,2017-only
HSCETE17P00080,9943.2,"COMCAST BUSINESS COMMUNICATIONS, LLC",2017,unique,2017-only
HSCECA07F00101,9948.46,CEIA USA LLC,2017,unique,2017-only
HSCEMD17F00222,10000,SENTEL CORPORATION,2017,unique,2017-only
HSCEMD17F00239,10009.98,"PROVENGO, LLC",2017,unique,2017-only
HSCEXP04FF00003,10564.88,CEIA USA LLC,2017,unique,2017-only
HSCEDM09F00019,11195.5,ANCHORTEX CORPORATION,2017,unique,2017-only
HSCEEC08F00035,11421.93,CEIA USA LLC,2017,unique,2017-only
HSCENV09F00049,11819.98,3M COMPANY (7775),2017,unique,2017-only
HSCEMD17P00125,12820.32,"RMA ARMAMENT, INC",2017,unique,2017-only
HSCETE17P00077,12930.8,"J S J RODRIGUEZ, INC.",2017,unique,2017-only
HSCEC708F00016,13043.48,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCENV08F00192,13703.48,ANCHORTEX CORPORATION,2017,unique,2017-only
HSCEMD17F00234,13894,"EZ PRINT SUPPLIES, INC.",2017,unique,2017-only
HSCEDM17P00082,14090,"OPSEC SECURITY, INC.",2017,unique,2017-only
HSCETE17F00048,14303.82,TESSCO INCORPORATED,2017,unique,2017-only
HSCECR12F00090,14398.4,DOCUMENT IMAGING DIMENSIONS INC.,2017,unique,2017-only
HSCEMD15F00140,14674,"LIOCE GROUP INC., THE",2017,unique,2017-only
HSCEDM17P00073,14832,BLACK DIAMOND GUN CLUB,2017,unique,2017-only
HSCETE17F00043,15376.71,"ADVANTAGE TECHNOLOGIES, INC.",2017,unique,2017-only
HSCEMS17P00036,16655,"JOHN WILEY & SONS, INC.",2017,unique,2017-only
HSCEDM17F00087,18681.6,DOCUMENT IMAGING DIMENSIONS INC.,2017,unique,2017-only
HSCEOP07F00888,18981.87,"4IMPRINT, INC.",2017,unique,2017-only
HSCEDM17F00101,19500,"A-1 FREEMAN RELOCATION SERVICES, INC.",2017,unique,2017-only
HSCEMR13P00015,19930.92,PRIORITY COURIER,2017,unique,2017-only
HSCEOP06F01027,20475.62,L AND R MANUFACTURING COMPANY,2017,unique,2017-only
HSCEDM13P00071,20567.35,ACTION WORKPLACE SERVICE,2017,unique,2017-only
HSCEE108F00004,20642.88,CEIA USA LLC,2017,unique,2017-only
HSCETE14P00049,20786.04,"BCS SYSTEMS, INC.",2017,unique,2017-only
HSCEDM14P00113,22260,"PHILADELPHIA, CITY OF",2017,unique,2017-only
HSCEC708F00017,22798.87,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEC708F00028,23420.65,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
116,23494.34,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCEDM17P00072,24265.2,TIME WARNER CABLE INC.,2017,unique,2017-only
HSCETE17P00084,24272.46,"AKIRA TECHNOLOGIES, INC.",2017,unique,2017-only
HSCETC17P00004,25500,NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED.,2017,unique,2017-only
HSCEMD17F00278,26188.72,"EWING ELECTRONICS, INC.",2017,unique,2017-only
HSCEMD17F00179,26687.94,ABBA TECHNOLOGIES INC,2017,unique,2017-only
HSCETE08J00326,27612.2,"VISUAL SYSTEMS GROUP, INC.",2017,unique,2017-only
HSCETE17P00022,29567.8,"PHONOSCOPE, INC.",2017,unique,2017-only
HSCEMD17P00120,29999.84,SAUL MINEROFF ELECTRONICS INC.,2017,unique,2017-only
HSCEDM17P00094,30485.06,X BRAND MATTRESS LLC,2017,unique,2017-only
HSCEC708F00027,32214.74,"SOUTHWESTERN SECURITY SERVICES, INC.",2017,unique,2017-only
HSCETE17P00005,32510.52,TREEFORT INC,2017,unique,2017-only
HSCEC708F00019,34782,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEDM08F00107,35097.55,"SECURITYHUNTER, INC.",2017,unique,2017-only
76,35767.65,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCEMD17P00065,36000,"VOLEXITY, INC.",2017,unique,2017-only
HSCETE14P00027,36033.43,"BELLSOUTH TELECOMMUNICATIONS, INC.",2017,unique,2017-only
46,36127.8,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCEDM15P00101,36753.44,"COX ARIZONA TELCOM, L.L.C.",2017,unique,2017-only
HSCEDM17P00018,40000,"ABM PARKING SERVICES, INC.",2017,unique,2017-only
HSCEC708F00032,40613.1,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEC708F00023,47135.11,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEOP07F01182,58079.42,"SIGNATURE TECHNOLOGY SOLUTIONS, INC.",2017,unique,2017-only
HSCEMS17P00095,59068.7,"ULTIMATE TRAINING MUNITIONS, INC",2017,unique,2017-only
HSCEMS17F00055,60593.76,U S  TACTICAL SUPPLY INC,2017,unique,2017-only
HSCEDM15P00001,66725.62,"SWANK MOTION PICTURES, INC.",2017,unique,2017-only
HSCEDM13F00059,73813.5,"JWM WHOLESALE, INC.",2017,unique,2017-only
HSCEFC07F00105,74672,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCETE17F00028,75420,GOVERNMENT MARKETING AND PROCU,2017,unique,2017-only
HSCETE08FIG007,81712.71,"VISUAL SYSTEMS GROUP, INC.",2017,unique,2017-only
HSCEOP07F01190,90576.18,"SIGNATURE TECHNOLOGY SOLUTIONS, INC.",2017,unique,2017-only
HSCEMS17C00005,92088,SILAS FRAZIER REALTY LLC,2017,unique,2017-only
HSCEMD17P00137,94101.7,"EDGE TECHNOLOGY DISTRIBUTORS, INC.",2017,unique,2017-only
HSCETE17P00075,100000,VIDENTIFIER TECHNOLOGIES EHF,2017,unique,2017-only
HSCEMD17F00253,101865,"IMMEDIATE SYSTEM RESOURCES, INC",2017,unique,2017-only
HSCEC708F00021,103033.15,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCECR17P00011,104920.2,"GC ALLIANCE, LLC",2017,unique,2017-only
HSCEMD17J00121,107145.9,"JANZ CORPORATION, THE",2017,unique,2017-only
HSCETE17F00041,109150,"HRWORX, LLC",2017,unique,2017-only
HSCEDM15F00086,109724.22,ECOLAB INC,2017,unique,2017-only
HSCEDM13F00055,118939.23,PORTION-PAC CHEMICAL CORPORATI,2017,unique,2017-only
HSCEDM17P00052,129256,"TU, LLC",2017,unique,2017-only
HSCEFC07F00118,143219,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCETE17P00083,149984.51,ENTCO GOVERNMENT SOFTWARE LLC,2017,unique,2017-only
HSCEC708F00024,153298.87,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEMD15J00033,171764.33,IMSOLUTIONS LLC,2017,unique,2017-only
HSCEMR12F00094,226047.59,"DIVERSE STAFFING SERVICES, INC.",2017,unique,2017-only
HSCEDM14F00037,233164.35,"CERTIFIED LANGUAGES INTERNATIONAL, L.L.C.",2017,unique,2017-only
HSCEC708F00003,269941.06,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEMD17P00043,283895.6,APPLIED FUNDAMENTALS CONSULTING LLC,2017,unique,2017-only
HSCEOP06J00372,334080,GOVERNMENT CONTRACT SOLUTIONS INC,2017,unique,2017-only
HSCEMS15C00004,336214.08,"TOTAL CONCEPT 360 CONSULTING, LLC",2017,unique,2017-only
56,359375.4,"EMCOR GOVERNMENT SERVICES, INC.",2017,unique,2017-only
HSCETC17P00005,400000,"HUBSTREAM, INC",2017,unique,2017-only
HSCETC17P00007,400000,"CHILD RESCUE COALITION, INC.",2017,unique,2017-only
HSCEFC07F00106,413300,"WACKENHUT SERVICES, INCORPORATED",2017,unique,2017-only
HSCEDM15F00032,471558.06,"CRESSTON COMPANY LLC, THE",2017,unique,2017-only
HSCEMD17P00104,621366,"LYME COMPUTER SYSTEMS, INC.",2017,unique,2017-only
HSCEMD16P00098,814699.92,NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED.,2017,unique,2017-only
HSCECR14P00038,1258643.84,SOUTHEAST VOCATIONAL ALLIANCE INC.,2017,unique,2017-only
HSCEDM15J00033,1710678.37,"SUCCESS TECH MANAGEMENT AND SERVICES, INC.",2017,unique,2017-only
HSCEMS17F00071,1934264.45,TERATHINK CORPORATION,2017,unique,2017-only
HSCETC17F00011,3974924.93,EXCELLA CONSULTING INCORPORATED,2017,unique,2017-only
HSCEC710J00002,5446421.92,"J. DIAMOND GROUP, INC., THE",2017,unique,2017-only
HSCEOP07F01337,6896037.76,ANTEON CORPORATION,2017,unique,2017-only
HSCEMD14F00030,8559302.4,ARC ASPICIO LIMITED LIABILITY COMPANY,2017,unique,2017-only
HSP1104MP0030,8680174.49,"AMERICAN SECURITY PROGRAMS, IN",2017,unique,2017-only
HSCETC14C00001,12114489.17,JSI TELECOM INC.,2017,unique,2017-only
HSCETE12F00049,139.8,"SATCOM DIRECT COMMUNICATIONS, INC.",2018,unique,2018-only
70CTD018FC0000036,141.53,FCN,2018,unique,2018-only
70CTD018FC0000049,244.22,FCN,2018,unique,2018-only
70CDCR18P00000084,757.3,"CORNELL COMPANIES, INC.",2018,unique,2018-only
70CTD018FC0000023,849.87,FCN,2018,unique,2018-only
70CTD018FC0000059,849.87,FCN,2018,unique,2018-only
70CTD018FC0000073,1278.08,FCN,2018,unique,2018-only
70CTD018FC0000034,1699.74,FCN,2018,unique,2018-only
70CTD018FC0000041,1699.74,FCN,2018,unique,2018-only
70CTD018FC0000047,1699.74,FCN,2018,unique,2018-only
70CTD018FC0000094,1738.6,FCN,2018,unique,2018-only
70CTD018FC0000067,1739.74,FCN,2018,unique,2018-only
70CTD018FC0000075,1739.74,FCN,2018,unique,2018-only
70CTD018FC0000076,1739.74,FCN,2018,unique,2018-only
70CDCR18P00000008,2500,"COLMA, CITY OF",2018,unique,2018-only
70CTD018FC0000032,2549.61,FCN,2018,unique,2018-only
70CTD018FC0000035,2549.61,FCN,2018,unique,2018-only
