award_id,recipient_name,parent_name,recipient_city,recipient_state,current_total_value,potential_total_value,awarding_office_name,awarding_office_cat,naics_description,naics_cat,award_description,product_combo,company_combo
HSCEDM14F00011,Alutiiq Diversified Services,Afognak Native,Anchorage,AK,5135635.83,5573643.41,Detention Compliance And Removals,Detention Compliance And Removals,Administrative Management,Consulting,Facilities Maintenance Solicitation,Administrative Management||Consulting,Alutiiq Diversified Services||Afognak Native
HSCEMS17P00022,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,130501.25,130501.25,Mission Support Washington,Mission Support,Waste Management,Trade & Manufacturing,Solid Waste Removal Services,Waste Management||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
70CDCR18FR0000020,Akima Global Services,Nana Regional,Anchorage,AK,8252420,8252420,Detention Compliance And Removals,Detention Compliance And Removals,Detention Services,Carceral Services,"Detention Support Services for the Buffalo Federal Detention Facility in Batavia, NY.",Detention Services||Carceral Services,Akima Global Services||Nana Regional
70CDCR18FR0000051,Akima Global Services,Nana Regional,Anchorage,AK,22368259.49,22368259.49,Detention Compliance And Removals,Detention Compliance And Removals,Detention Services,Carceral Services,Detention Management Services for the Krome Service Processing Center,Detention Services||Carceral Services,Akima Global Services||Nana Regional
HSCEDM14D00002,Akima Global Services,Nana Regional,Anchorage,AK,,400990294,Detention Compliance And Removals,Detention Compliance And Removals,Detention Services,Carceral Services,Rea for Krome Detention Center,Detention Services||Carceral Services,Akima Global Services||Nana Regional
HSCEDM15D00002,Akima Global Services,Nana Regional,Anchorage,AK,,243500301.8,Detention Management - Laguna,Detention Management,Detention Services,Carceral Services,"Detention Support Services for the Buffalo Federal Detention Facility in Batavia, NY.",Detention Services||Carceral Services,Akima Global Services||Nana Regional
HSCEDM17J00014,Akima Global Services,Nana Regional,Anchorage,AK,25115817.4,25115817.4,Detention Compliance And Removals,Detention Compliance And Removals,Detention Services,Carceral Services,Akima Global Services. Contract Hscedm-15-D-00002. Funding for Option Year 2 (Pop 02/01/17 - 01/31/18).,Detention Services||Carceral Services,Akima Global Services||Nana Regional
HSCEDM17J00016,Akima Global Services,Nana Regional,Anchorage,AK,49294991.23,49294991.23,Detention Compliance And Removals,Detention Compliance And Removals,Detention Services,Carceral Services,Detention Management Services for the Krome Service Processing Center,Detention Services||Carceral Services,Akima Global Services||Nana Regional
70CDCR18D00000002,Trailboss Enterprises,Trailboss Enterprises,Anchorage,AK,,244235070.8,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Transportation Services,Guards||Carceral Services,Trailboss Enterprises||Trailboss Enterprises
70CDCR18FR0000075,Trailboss Enterprises,Trailboss Enterprises,Anchorage,AK,1576372.32,1576372.32,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Transportation Services,Guards||Carceral Services,Trailboss Enterprises||Trailboss Enterprises
HSCEDM12D00005,Trailboss Enterprises,Trailboss Enterprises,Anchorage,AK,,197811585,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Detention Transportation,Guards||Carceral Services,Trailboss Enterprises||Trailboss Enterprises
HSCEDM14J00021,Trailboss Enterprises,Trailboss Enterprises,Anchorage,AK,105712359.3,105712359.3,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Detention Transportation,Guards||Carceral Services,Trailboss Enterprises||Trailboss Enterprises
HSCEMD17F00079,Altec Industries,Altec Industries,Birmingham,AL,798165,933068,Mission Support Dallas,Mission Support,Vehicles,Transportation,Bucket Trucks,Vehicles||Transportation,Altec Industries||Altec Industries
HSCEMD17F00227,Altec Industries,Altec Industries,Birmingham,AL,660448.75,660448.75,Mission Support Dallas,Mission Support,Vehicles,Transportation,Bucket Trucks,Vehicles||Transportation,Altec Industries||Altec Industries
HSCEMD15P00103,Cold Box Express,CBX Holding,Arab,AL,171873.55,171873.55,Mission Support Dallas,Mission Support,Storage,Transportation,"Service, Tracking and Monitoring of Cold Storage Containers",Storage||Transportation,Cold Box Express||CBX Holding
HSCEMS17F00058,Montgomery Marketing,MMI Outdoor,Montgomery,AL,19288.7,19288.7,Mission Support Washington,Mission Support,Fitness Equipment,Sports & Rec,Purchase of Stealth Tents,Fitness Equipment||Sports & Rec,Montgomery Marketing||MMI Outdoor
HSCECR13C00003,One Stop Environmental,One Stop Environmental,Birmingham,AL,514201.22,514201.22,Information Technology Division,Information Technology,Waste Management,Trade & Manufacturing,Biohazard Waste Disposal Services for ICE Health Services Corps Medical Facilities,Waste Management||Trade & Manufacturing,One Stop Environmental||One Stop Environmental
HSCEMS15F00005,FPMI Solutions,Paladin Capital,Huntsville,AL,25672,25672,Mission Support Orlando,Mission Support,Career Counseling,Consulting,Equal Employment Opportunity Counseling,Career Counseling||Consulting,FPMI Solutions||Paladin Capital
HSCEDM16CHS002,Talton Communications,Talton Communications,Selma,AL,21380,36760,Detention Compliance And Removals,Detention Compliance And Removals,Phones,Telecom,Detainee Telephone Services (DTS-VI),Phones||Telecom,Talton Communications||Talton Communications
HSCEMD16P00127,University of Alabama at Birmingham,University of Alabama System,Birmingham,AL,73003,146006,Mission Support Dallas,Mission Support,Professional Development,Research & Professional Development,Analytical Services,Professional Development||Research & Professional Development,University of Alabama at Birmingham||University of Alabama System
70CMSD18P00000087,Crime Information Center Arkansas,State of Arkansas,Little Rock,AR,525,2625,Mission Support Dallas,,Databases,IT,Access to Database,Databases||IT,Crime Information Center Arkansas||State of Arkansas
70CMSD18P00000004,APL Access & Security,APL Access & Security,Gilbert,AZ,4351,4351,Mission Support Dallas,Mission Support,Software Training,Carceral Services,Software Support Agreement,Software Training||Carceral Services,APL Access & Security||APL Access & Security
HSCEDM15P00082,Arcos De Oro,Arcos De Oro,Tucson,AZ,44939.12,134119.12,Detention Management - Laguna,Detention Management,Detainee Meals,Food,Detainee Meals at the Tucson Sub - Office,Detainee Meals||Food,Arcos De Oro||Arcos De Oro
70CMSD18P00000006,Asset Security Tracking Recovery,Asset Security Tracking Recovery,Peoria,AZ,14300,14300,Mission Support Dallas,Mission Support,Cameras,Trade & Manufacturing,Street Light,Cameras||Trade & Manufacturing,Asset Security Tracking Recovery||Asset Security Tracking Recovery
70CMSD18P00000022,Asset Security Tracking Recovery,Asset Security Tracking Recovery,Peoria,AZ,4000,4000,Mission Support Dallas,Mission Support,Surveillance Equipment,Trade & Manufacturing,Surveillance Camera,Surveillance Equipment||Trade & Manufacturing,Asset Security Tracking Recovery||Asset Security Tracking Recovery
HSCEMS17P00014,At Your Service Heating & Cooling,At Your Service Heating & Cooling,Phoenix,AZ,114377.69,114377.69,Mission Support Washington,Mission Support,Electrical,Trade & Manufacturing,Replacement of Foxtrot Building Generator Florence Service Processing Center,Electrical||Trade & Manufacturing,At Your Service Heating & Cooling||At Your Service Heating & Cooling
70CMSW18P00000033,At Your Service Heating & Cooling,At Your Service Heating & Cooling,Phoenix,AZ,215813.69,215813.69,Mission Support Washington,Mission Support,Physical Plant,Trade & Manufacturing,Florence Service Processing Center Facility-Wide Exterior Painting Project,Physical Plant||Trade & Manufacturing,At Your Service Heating & Cooling||At Your Service Heating & Cooling
HSCEMS12F00032,BAE Systems Aerospace & Defense,BAE Systems Aerospace & Defense,Phoenix,AZ,280512.51,280512.51,Mission Support Orlando,Mission Support,Armor,Apparel & Leather,Body Armor Equipment.,Armor||Apparel & Leather,BAE Systems Aerospace & Defense||BAE Systems Aerospace & Defense
HSCEMS12F00042,BAE Systems Aerospace & Defense,BAE Systems Aerospace & Defense,Phoenix,AZ,79595.4,79595.4,Mission Support Orlando,Mission Support,Armor,Apparel & Leather,Body Armor,Armor||Apparel & Leather,BAE Systems Aerospace & Defense||BAE Systems Aerospace & Defense
HSCEMS12F00052,BAE Systems Aerospace & Defense,BAE Systems Aerospace & Defense,Phoenix,AZ,162378.93,162378.93,Mission Support Orlando,Mission Support,Armor,Apparel & Leather,Body Armor,Armor||Apparel & Leather,BAE Systems Aerospace & Defense||BAE Systems Aerospace & Defense
HSCEMD10P00089,Bse Performance,Bse Performance,Peoria,AZ,22660,43720,Detention Management - Laguna,Detention Management,Storage,Munitions,"Two Climate Controlled Storage Units at Ft. Benning, Ga On Fiske Range.",Storage||Munitions,Bse Performance||Bse Performance
70CMSD18P00000014,City of Mesa,City of Mesa,Mesa,AZ,14800,44400,Mission Support Dallas,Mission Support,Amusement,Sports & Rec,Firearms Range Services,Amusement||Sports & Rec,City of Mesa||City of Mesa
HSCEMR15P00004,County of Pinal,County of Pinal,Florence,AZ,6921.53,6921.53,Mission Support Orlando,Mission Support,Conservation,Misc.,"Annual County Permit for Pinal County, AZ",Conservation||Misc.,County of Pinal||County of Pinal
70CMSD18P00000039,GPS Intelligence,GPS Intelligence,Scottsdale,AZ,4785,4785,Mission Support Dallas,Mission Support,Surveillance Equipment,Carceral Services,Surveillance Equipment Ratification,Surveillance Equipment||Carceral Services,GPS Intelligence||GPS Intelligence
HSCEDM14C00001,J P Industries,J P Industries,Tucson,AZ,,858723.55,Detention Compliance And Removals,Detention Compliance And Removals,Janitorial,Trade & Manufacturing,"Custodial and Groundskeeping Services at Florence Service Processing Center, AZ",Janitorial||Trade & Manufacturing,J P Industries||J P Industries
HSCETE17F00013,Justicetrax,Justicetrax,Phoenix,AZ,29470.56,176823.36,Information Technology Division,Information Technology,Software Licenses,IT,This Request is for the Operations and Maintenance for the Software Licenses for the Lims Case Management System at the Homeland Security Investigations Forensic Laboratory. Period of Performance Will Be 05/23/2017 - 05/22/2022.,Software Licenses||IT,Justicetrax||Justicetrax
HSCEDM17C00004,Millennium Health & Fitness,Millennium Health & Fitness,Scottsdale,AZ,6768,27072,Detention Compliance And Removals,Detention Compliance And Removals,Gym Memberships,Sports & Rec,Gym Memberships for Enforcement and Removals St. Louis Sub-Field Office,Gym Memberships||Sports & Rec,Millennium Health & Fitness||Millennium Health & Fitness
70CDCR18FR0000050,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,27380,27380,Detention Compliance And Removals,Detention Compliance And Removals,Clothes,Apparel & Leather,Goods,Clothes||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
70CDCR18P00000049,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,23749.28,23749.28,Detention Compliance And Removals,Detention Compliance And Removals,Shoes,Apparel & Leather,Canvas Slip-On Shoes for Detainees at the Port Isabel Detention Center IAW PBNDS Standards,Shoes||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
70CDCR18FR0000013,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,6444,6444,Detention Compliance And Removals,Detention Compliance And Removals,Socks,Apparel & Leather,To Purchase Socks for Detainees,Socks||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
70CDCR18FR0000025,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,4240,4240,Detention Compliance And Removals,Detention Compliance And Removals,Socks,Apparel & Leather,Goods Tube Socks,Socks||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
70CDCR18FR0000054,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,11305,11305,Detention Compliance And Removals,Detention Compliance And Removals,Socks,Apparel & Leather,Socks are Needed for Detainee Welfare and to Meet Detention Standards at the Port Isabel Detention Center. The Detainee Population Has Increased Recently Making It Necessary to Increase Usage.,Socks||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
70CDCR18FR0000053,Ml Click Marketing,Ml Click Marketing,Phoenix,AZ,16240.7,16240.7,Detention Compliance And Removals,Detention Compliance And Removals,Underwear,Apparel & Leather,Men's Briefs for Port Isabel Detention Center,Underwear||Apparel & Leather,Ml Click Marketing||Ml Click Marketing
HSCECR17P00009,National Law Enforcement Telecommunications Systems,National Law Enforcement Telecommunications Systems,Phoenix,AZ,2021460,3032190,Detention Compliance And Removals,Detention Compliance And Removals,Cable & Wifi,IT,Support for Modification of Nlets Notification System,Cable & Wifi||IT,National Law Enforcement Telecommunications Systems||National Law Enforcement Telecommunications Systems
HSCETC15P00002,Packet Forensics,Packet Forensics,Tempe,AZ,37161,47158,Mission Support Washington,Mission Support,IT Support,IT,Forensics Annual Silver Level Support Service and Maintenance On Existing Generation 2 Hardware,IT Support||IT,Packet Forensics||Packet Forensics
HSCEMS17P00034,Paul Palmer,Paul Palmer,Thatcher,AZ,34306,34306,Mission Support Washington,Mission Support,Landscaping,Trade & Manufacturing,Florence Service Processing Center Retention Pond Repair,Landscaping||Trade & Manufacturing,Paul Palmer||Paul Palmer
HSCEMS17F00035,Presenta Plaque,Presenta Plaque,Tempe,AZ,6318.5,6318.5,Mission Support Washington,Mission Support,Employee Recognition,Trade & Manufacturing,"Pre-Assembled Pocket Plaques for 8.5"" X 11"" Certificates.",Employee Recognition||Trade & Manufacturing,Presenta Plaque||Presenta Plaque
HSCEDM13F00034,Uniforms Manufacturing,Uniforms Manufacturing,Scottsdale,AZ,58195.56,125563.56,Detention Compliance And Removals,Detention Compliance And Removals,Shoes,Apparel & Leather,Shoes for Detainees,Shoes||Apparel & Leather,Uniforms Manufacturing||Uniforms Manufacturing
70CDCR18FR0000047,Uniforms Manufacturing,Uniforms Manufacturing,Scottsdale,AZ,13852.57,13852.57,Detention Compliance And Removals,Detention Compliance And Removals,Underwear,Apparel & Leather,Female Undergarments at PIDC,Underwear||Apparel & Leather,Uniforms Manufacturing||Uniforms Manufacturing
HSCEMS15C00004,360 Total Concept Consulting,361 Total Concept Consulting,Oakland,CA,332776.08,575296.08,Mission Support Orlando,Mission Support,Administrative Management,Office Supplies,Administrative Support Services,Administrative Management||Office Supplies,360 Total Concept Consulting||361 Total Concept Consulting
70CMSW18FR0000008,Aardvark,Aardvark,La Verne,CA,38153.6,38153.6,Mission Support Washington,Mission Support,Ammo,Munitions,Specialty Munitions.,Ammo||Munitions,Aardvark||Aardvark
70CMSW18FR0000030,Aardvark,Aardvark,La Verne,CA,50722.8,50722.8,Mission Support Washington,Mission Support,Ammo,Munitions,Required Specialty Munitions Re-Fit Kits.,Ammo||Munitions,Aardvark||Aardvark
70CMSW18FR0000031,Aardvark,Aardvark,La Verne,CA,95311.98,95311.98,Mission Support Washington,Mission Support,Ammo,Munitions,Specialty Munitions Re-Fit Kits for Homeland Security Investigations Special Response Teams in the Field.,Ammo||Munitions,Aardvark||Aardvark
HSCEMS16J00007,Aardvark,Aardvark,La Verne,CA,9229.3,9229.3,Mission Support Washington,Mission Support,Ammo,Munitions,Specialty Munitions.,Ammo||Munitions,Aardvark||Aardvark
HSCEMS17F00018,Aardvark,Aardvark,La Verne,CA,262194.92,262194.92,Mission Support Washington,Mission Support,Tasers,Apparel & Leather,Procurement of Taser Cew Parts,Tasers||Apparel & Leather,Aardvark||Aardvark
HSCEMS17F00039,Aardvark,Aardvark,La Verne,CA,147687.7,147687.7,Mission Support Washington,Mission Support,Tasers,Apparel & Leather,Purchase Tasers and Accessories,Tasers||Apparel & Leather,Aardvark||Aardvark
HSCEMS17F00073,Aardvark,Aardvark,La Verne,CA,2071627.6,2071627.6,Mission Support Washington,Mission Support,Tasers,Apparel & Leather,Taser Units and Accessories,Tasers||Apparel & Leather,Aardvark||Aardvark
HSCEMS16J00102,Aardvark,Aardvark,La Verne,CA,35210,35210,Mission Support Washington,Mission Support,Tasers,Munitions,Specialty Munitions Taser Parts (Based Off of CBP Taser Idiq HSBP10-14-D-00035) for Fps,Tasers||Munitions,Aardvark||Aardvark
HSCEMS17J00160,Aardvark,Aardvark,La Verne,CA,226011.5,226011.5,Mission Support Washington,Mission Support,Tasers,Munitions,Supply Replenishment for Fps and ICE Tasers for Training and Field Use,Tasers||Munitions,Aardvark||Aardvark
70CMSD18P00000008,Ace Parking Management,Ace Parking Management,San Diego,CA,9900,9900,Mission Support Dallas,Mission Support,Parking,Transportation,Parking Spaces,Parking||Transportation,Ace Parking Management||Ace Parking Management
HSCEMR13C00003,Ace Parking Management,Ace Parking Management,San Diego,CA,588000.6,588000.6,Mission Support Dallas,Mission Support,Parking,Transportation,L'Enfant Parking Plaza 40 Spaces,Parking||Transportation,Ace Parking Management||Ace Parking Management
HSCEMR14P00001,Ace Parking Management,Ace Parking Management,San Diego,CA,20367,20367,Mission Support Dallas,Mission Support,Parking,Transportation,Parking for Operations Seattle,Parking||Transportation,Ace Parking Management||Ace Parking Management
HSCEMS17C00004,Ace Parking Management,Ace Parking Management,San Diego,CA,354000,848100,Mission Support Washington,Mission Support,Parking,Transportation,Parking for 45 Unreserved Spaces at 950 L'Enfant Plaza,Parking||Transportation,Ace Parking Management||Ace Parking Management
70CMSD18FR0000062,Adaptive Digital Systems,Adaptive Digital Systems,Newport Beach,CA,19519,19519,Mission Support Dallas,Mission Support,Surveillance Equipment,Telecom,Surveillance Equipment,Surveillance Equipment||Telecom,Adaptive Digital Systems||Adaptive Digital Systems
70CMSD18FR0000067,Adaptive Digital Systems,Adaptive Digital Systems,Newport Beach,CA,294281,299942,Mission Support Dallas,Mission Support,Surveillance Equipment,Telecom,Electronic Surveillance Equipment,Surveillance Equipment||Telecom,Adaptive Digital Systems||Adaptive Digital Systems
70CMSD18FR0000121,Adaptive Digital Systems,Adaptive Digital Systems,Newport Beach,CA,6045,6045,Mission Support Dallas,Mission Support,Surveillance Equipment,Telecom,Surveillance Equipment,Surveillance Equipment||Telecom,Adaptive Digital Systems||Adaptive Digital Systems
HSCEMD17F00109,Adaptive Digital Systems,Adaptive Digital Systems,Newport Beach,CA,6400,6400,Mission Support Dallas,Mission Support,Surveillance Equipment,Telecom,Audio Video Equipment,Surveillance Equipment||Telecom,Adaptive Digital Systems||Adaptive Digital Systems
HSCEMR16P00030,Aero Mobility,Aero Mobility,Anaheim,CA,31030,31030,Mission Support Orlando,Mission Support,Vehicles,Transportation,Handicap Vehicle Conversion Kit for Vehicle Purchased Under Hscemr-16-X-Ac012,Vehicles||Transportation,Aero Mobility||Aero Mobility
HSCEDM17F00010,AF&S Products & Services,AF&S Products & Services,Palm Desert,CA,8969.4,8969.4,Detention Compliance And Removals,Detention Compliance And Removals,Waste Management,Trade & Manufacturing,Noncombustible Lids to Cover Waste Containers at the Port Isabel Detention Facility.,Waste Management||Trade & Manufacturing,AF&S Products & Services||AF&S Products & Services
70CDCR18FR0000014,Allied Modular Building Systems,Allied Modular Building Systems,Orange,CA,3638.57,3638.57,Detention Compliance And Removals,Detention Compliance And Removals,Construction,Trade & Manufacturing,"Smoking Booth for 4250 Federal Drive, Batavia, NY 14020",Construction||Trade & Manufacturing,Allied Modular Building Systems||Allied Modular Building Systems
HSCEMS17F00063,Amron International Diving Supply,Amron International Diving Supply,Vista,CA,41593.5,41593.5,Mission Support Washington,Mission Support,Clothes,Apparel & Leather,Purchase of Inflatable Floatation Device,Clothes||Apparel & Leather,Amron International Diving Supply||Amron International Diving Supply
HSCEMD17J00054,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,5742.5,5742.5,Mission Support Dallas,Mission Support,Cameras,IT,Cameras,Cameras||IT,Anacapa Micro Products||Anacapa Micro Products
HSCEMD17J00141,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,73544.28,73544.28,Mission Support Dallas,Mission Support,Computer Peripherals,IT,Computer Accessories,Computer Peripherals||IT,Anacapa Micro Products||Anacapa Micro Products
70CMSD18FR0000007,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,579.3,579.3,Mission Support Dallas,Mission Support,Computers,IT,IT Equipment,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CMSD18FR0000052,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,502289.2,502289.2,Mission Support Dallas,Mission Support,Computers,IT,Hard Drives,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CMSD18FR0000070,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,5189.2,5189.2,Mission Support Dallas,Mission Support,Computers,IT,Z5600 Plotter,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CTD018FR0000101,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,24025.02,24025.02,Information Technology Division,Information Technology,Computers,IT,First Source Equipment Contract # Tbd See shipping Template,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CTD018FR0000111,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,10985.25,10985.25,Information Technology Division,Information Technology,Computers,IT,Purchase Seventy Five (75) HP Officejet Pro 8720A All-In-One Printers,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CTD018FR0000115,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,12735.02,12735.02,Information Technology Division,Information Technology,Computers,IT,First Source Equipment Contract # Tbd See shipping Template,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
70CTD018FR0000143,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,24445.3,24445.3,Information Technology Division,Information Technology,Computers,IT,Fsii Computer,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
HSCEMD16J00055,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,98448,98448,Mission Support Dallas,Mission Support,Computers,IT,Law Enforcement Mission Critical. Hero/Computer Forensics Program - Hard Drives Required for Program Use.,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
HSCEMD17J00078,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,4032.47,4032.47,Mission Support Dallas,Mission Support,Computers,IT,Plotter,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
HSCEMD17J00149,Anacapa Micro Products,Anacapa Micro Products,Oxnard,CA,4092.46,4092.46,Mission Support Dallas,Mission Support,Computers,IT,Plotter,Computers||IT,Anacapa Micro Products||Anacapa Micro Products
